날짜,시도지역코드,발생건수(건)
20140119,48,173
20140119,49,51
20140119,99,4792
20140120,11,9105
20140120,26,3432
20140120,27,2823
20140120,28,3256
20140120,29,2191
20140120,30,1409
20140120,31,1298
20140120,41,11656
20140120,42,1457
20140120,43,1739
20140120,44,2388
20140120,45,2674
20140120,46,2926
20140120,47,3100
20140120,48,3841
20140120,49,737
20140120,99,54047
20140121,11,6806
20140121,26,2494
20140121,27,1933
20140121,28,2459
20140121,29,1463
20140121,30,980
20140121,31,994
20140121,41,9029
20140121,42,914
20140121,43,1329
20140121,44,1685
20140121,45,1722
20140121,46,2005
20140121,47,2196
20140121,48,2740
20140121,49,519
20140121,99,39284
20140122,11,7310
20140122,26,2442
20140122,27,1913
20140122,28,2461
20140122,29,1573
20140122,30,1034
20140122,31,1009
20140122,41,9215
20140122,42,1061
20140122,43,1486
20140122,44,1798
20140122,45,1831
20140122,46,2107
20140122,47,2263
20140122,48,2747
20140122,49,534
20140122,99,40792
20140123,11,7219
20140123,26,2576
20140123,27,2054
20140123,28,2622
20140123,29,1632
20140123,30,1109
20140123,31,1010
20140123,41,9546
20140123,42,1128
20140123,43,1463
20140123,44,1924
20140123,45,2066
20140123,46,2175
20140123,47,2489
20140123,48,2820
20140123,49,536
20140123,99,42385
20140124,11,8003
20140124,26,2925
20140124,27,2239
20140124,28,2878
20140124,29,1692
20140124,30,1197
20140124,31,1144
20140124,41,10543
20140124,42,1304
20140124,43,1569
20140124,44,2031
20140124,45,2104
20140124,46,2328
20140124,47,2558
20140124,48,3093
20140124,49,635
20140124,99,46257
20140125,11,7268
20140125,26,2227
20140125,27,2065
20140125,28,2563
20140125,29,1622
20140125,30,1077
20140125,31,968
20140125,41,9324
20140125,42,957
20140125,43,1348
20140125,44,1627
20140125,45,1678
20140125,46,1953
20140125,47,2155
20140125,48,2492
20140125,49,430
20140125,99,39765
20140126,11,728
20140126,26,192
20140126,27,310
20140126,28,382
20140126,29,296
20140126,30,149
20140126,31,146
20140126,41,1575
20140126,42,98
20140126,43,177
20140126,44,220
20140126,45,252
20140126,46,356
20140126,47,327
20140126,48,189
20140126,49,58
20140126,99,5458
20140127,11,11707
20140127,26,4067
20140127,27,3256
20140127,28,4327
20140127,29,2400
20140127,30,1699
20140127,31,1602
20140127,41,15084
20140127,42,1804
20140127,43,2210
20140127,44,2808
20140127,45,2987
20140127,46,3216
20140127,47,3717
20140127,48,4449
20140127,49,818
20140127,99,66179
20140128,11,9031
20140128,26,3269
20140128,27,2726
20140128,28,3358
20140128,29,2052
20140128,30,1302
20140128,31,1262
20140128,41,11979
20140128,42,1433
20140128,43,1872
20140128,44,2297
20140128,45,2376
20140128,46,2725
20140128,47,2967
20140128,48,3434
20140128,49,704
20140128,99,52812
20140129,11,12765
20140129,26,4155
20140129,27,3446
20140129,28,4468
20140129,29,2335
20140129,30,1792
20140129,31,1684
20140129,41,16195
20140129,42,1685
20140129,43,2126
20140129,44,2849
20140129,45,2725
20140129,46,2998
20140129,47,3589
20140129,48,4438
20140129,49,664
20140129,99,67939
20140130,11,1429
20140130,26,607
20140130,27,862
20140130,28,580
20140130,29,553
20140130,30,357
20140130,31,192
20140130,41,2107
20140130,42,262
20140130,43,508
20140130,44,606
20140130,45,630
20140130,46,774
20140130,47,853
20140130,48,707
20140130,49,170
20140130,99,11201
20140131,11,365
20140131,26,54
20140131,27,44
20140131,28,91
20140131,29,84
20140131,30,85
20140131,31,49
20140131,41,558
20140131,42,76
20140131,43,105
20140131,44,84
20140131,45,88
20140131,46,149
20140131,47,85
20140131,48,107
20140131,49,34
20140131,99,2058
20140201,11,1551
20140201,26,559
20140201,27,527
20140201,28,497
20140201,29,423
20140201,30,249
20140201,31,209
20140201,41,2148
20140201,42,229
20140201,43,421
20140201,44,520
20140201,45,614
20140201,46,826
20140201,47,585
20140201,48,661
20140201,49,103
20140201,99,10126
20140202,11,1161
20140202,26,231
20140202,27,349
20140202,28,534
20140202,29,244
20140202,30,155
20140202,31,158
20140202,41,2146
